"from_stop_id","to_stop_id","transfer_type","min_transfer_time","from_route_id","to_route_id","from_trip_id","to_trip_id"
000461101500,000461101500,2,240,,,,
000461101500,000461007500,2,120,,,,
000461001500,000461001500,2,240,,,,
000461001500,000461116000,2,180,,,,
000008600559,000008600559,2,360,,,,
000008600555,000008600555,2,360,,,,
000008600555,000479320500,2,240,,,,
000008600555,000479451000,2,120,,,,
000008600555,000479451100,2,180,,,,
000008600551,000008600551,2,360,,,,
000008600551,000479950000,2,360,,,,
000008600551,000100220160,2,300,,,,
000008600551,000479769000,2,300,,,,
000008600551,000479769200,2,300,,,,
000008600551,000100200261,2,600,,,,
000008604119,000008604119,2,240,,,,
000008604117,000008604117,2,240,,,,
000008604117,000813000401,2,180,,,,
000008604115,000008604115,2,240,,,,
000008604115,000841000109,2,240,,,,
000008604115,000841000101,2,240,,,,
000008604115,000841000102,2,240,,,,
000008604113,000008604113,2,240,,,,
000008604111,000008604111,2,240,,,,
000008604111,000813044801,2,240,,,,
000008604111,000813044802,2,240,,,,
000008604818,000008604818,2,240,,,,
000008604819,000008604819,2,240,,,,
000008604817,000008604817,2,240,,,,
000008604817,000665000201,2,240,,,,
000008604814,000008604814,2,240,,,,
000008604815,000008604815,2,240,,,,
000008604813,000008604813,2,240,,,,
000008604811,000008604811,2,240,,,,
000008600097,000008600097,2,120,,,,
000008600097,000539001101,2,240,,,,
000008600015,000008600015,2,240,,,,
000008600015,000805000102,2,240,,,,
000008600015,000805000104,2,240,,,,
000008600015,000805000101,2,240,,,,
000008600015,000805000103,2,240,,,,
000008600015,000805000105,2,240,,,,
000008600094,000008600094,2,120,,,,
000008600094,000529000201,2,240,,,,
000008600013,000008600013,2,240,,,,
000008600013,000829300101,2,240,,,,
000008600013,000829300102,2,240,,,,
000008600013,000829300103,2,240,,,,
000008600091,000008600091,2,120,,,,
000008600091,000543000101,2,240,,,,
000008600708,000008600708,2,120,,,,
000008600708,000008651708,2,120,,,,
000008600708,000008650708,2,120,,,,
000008600708,000000052623,2,120,,,,
000008600708,000000052624,2,120,,,,
000008600708,000000052625,2,180,,,,
000008600708,000000052626,2,180,,,,
000008600708,000000053563,2,180,,,,
000008600709,000008600709,2,120,,,,
000008600709,000000002505,2,360,,,,
000008600709,000000002509,2,360,,,,
000008600709,000000007928,2,180,,,,
000008600709,000000048635,2,180,,,,
000008600709,000000010439,2,180,,,,
000008600709,000000010508,2,120,,,,
000008600709,000008651709,2,120,,,,
000008600709,000008650709,2,120,,,,
000008600706,000008600706,2,360,,,,
000008600706,000000000022,2,240,,,,
000008600706,000000002142,2,180,,,,
000008600706,000000002259,2,720,,,,
000008600706,000000002260,2,840,,,,
000008600706,000000028277,2,180,,,,
000008600706,000008651706,2,180,,,,
000008600706,000008650706,2,180,,,,
000008600706,000000053095,2,240,,,,
000008600707,000008600707,2,120,,,,
